Month,Sales,MoM Change %,3-Month Moving Avg
2014-01,14236.9,,
2014-02,4519.89,-68.25,
2014-03,55691.01,1132.13,24815.93
2014-04,28295.34,-49.19,29502.08
2014-05,23648.29,-16.42,35878.21
2014-06,34595.13,46.29,28846.25
2014-07,33946.39,-1.88,30729.94
2014-08,27909.47,-17.78,32150.33
2014-09,81777.35,193.01,47877.74
2014-10,31453.39,-61.54,47046.74
2014-11,78628.72,149.98,63953.15
2014-12,69545.62,-11.55,59875.91
2015-01,18174.08,-73.87,55449.47
2015-02,11951.41,-34.24,33223.7
2015-03,38726.25,224.03,22950.58
2015-04,34195.21,-11.7,28290.96
2015-05,30131.69,-11.88,34351.05
2015-06,24797.29,-17.7,29708.06
2015-07,28765.32,16.0,27898.1
2015-08,36898.33,28.27,30153.65
2015-09,64595.92,75.06,43419.86
2015-10,31404.92,-51.38,44299.72
2015-11,75972.56,141.91,57324.47
2015-12,74919.52,-1.39,60765.67
2016-01,18542.49,-75.25,56478.19
2016-02,22978.82,23.93,38813.61
2016-03,51715.88,125.06,31079.06
2016-04,38750.04,-25.07,37814.91
2016-05,56987.73,47.06,49151.21
2016-06,40344.53,-29.2,45360.77
2016-07,39261.96,-2.68,45531.41
2016-08,31115.37,-20.75,36907.29
2016-09,73410.02,135.93,47929.12
2016-10,59687.74,-18.69,54737.71
2016-11,79411.97,33.05,70836.58
2016-12,96999.04,22.15,78699.58
2017-01,43971.37,-54.67,73460.79
2017-02,20301.13,-53.83,53757.18
2017-03,58872.35,190.0,41048.29
2017-04,36521.54,-37.96,38565.01
2017-05,44261.11,21.19,46551.67
2017-06,52981.73,19.7,44588.12
2017-07,45264.42,-14.57,47502.42
2017-08,63120.89,39.45,53789.01
2017-09,87866.65,39.2,65417.32
2017-10,77776.92,-11.48,76254.82
2017-11,118447.82,52.29,94697.13
2017-12,83829.32,-29.23,93351.36
