Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Product ID,Product Name
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Bookcases,261.96,2,0.0,41.9136,FUR-BO-10001798,Bush Somerset Collection Bookcase
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,731.94,3,0.0,219.582,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Labels,14.62,2,0.0,6.8714,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,Tables,957.5775,5,0.45,-383.031,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,22.368,2,0.2,2.5164,OFF-ST-10000760,Eldon Fold 'N Roll Cart System
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings,48.86,7,0.0,14.1694,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood"
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Art,7.28,4,0.0,1.9656,OFF-AR-10002833,Newell 322
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,907.152,6,0.2,90.7152,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Binders,18.504,3,0.2,5.7825,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,114.9,5,0.0,34.47,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Tables,1706.184,9,0.2,85.3092,FUR-TA-10001539,Chromcraft Rectangular Conference Tables
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,911.424,4,0.2,68.3568,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black
